Variant name,variant
AM.3,Ancestral
AY.1,Delta
AY.100,Delta
AY.104,Delta
AY.109,Delta
AY.117,Delta
AY.33,Delta
AY.77,Delta
AY.81,Delta
AY.99,Delta
AY.99.1,Delta
B,Ancestral
B.1,Ancestral
B.1.1.111,Ancestral
B.1.1.12,Ancestral
B.1.1.123,Ancestral
B.1.1.134,Ancestral
B.1.1.136,Ancestral
B.1.1.168,Ancestral
B.1.1.178,Ancestral
B.1.1.180,Ancestral
B.1.1.189,Ancestral
B.1.1.192,Ancestral
B.1.1.197,Ancestral
B.1.1.207,Ancestral
B.1.1.221,Ancestral
B.1.1.253,Ancestral
B.1.1.254,Ancestral
B.1.1.269,Ancestral
B.1.1.33,Ancestral
B.1.1.359,Ancestral
B.1.1.363,Ancestral
B.1.1.373,Ancestral
B.1.1.375,Ancestral
B.1.1.398,Ancestral
B.1.1.4,Ancestral
B.1.1.40,Ancestral
B.1.1.408,Ancestral
B.1.1.463,Ancestral
B.1.1.529,Ancestral
B.1.1.61,Ancestral
B.1.1.71,Ancestral
B.1.1.8,Ancestral
B.1.1.86,Ancestral
B.1.1.95,Ancestral
B.1.1.98,Ancestral
B.1.106,Ancestral
B.1.110,Ancestral
B.1.128,Ancestral
B.1.178,Ancestral
B.1.187,Ancestral
B.1.188,Ancestral
B.1.195,Ancestral
B.1.198,Ancestral
B.1.201,Ancestral
B.1.205,Ancestral
B.1.220,Ancestral
B.1.23,Ancestral
B.1.234,Ancestral
B.1.250,Ancestral
B.1.334,Ancestral
B.1.35,Ancestral
B.1.379,Ancestral
B.1.384,Ancestral
B.1.391,Ancestral
B.1.40,Ancestral
B.1.439,Ancestral
B.1.443,Ancestral
B.1.530,Ancestral
B.1.543,Ancestral
B.1.575,Ancestral
B.1.617.2,Ancestral
B.1.70,Ancestral
B.1.76,Ancestral
B.1.8,Ancestral
B.1.97,Ancestral
B.11,Ancestral
B.12,Ancestral
B.15,Ancestral
B.23,Ancestral
B.30,Ancestral
B.32,Ancestral
B.42,Ancestral
B.47,Ancestral
B.58,Ancestral
B.60,Ancestral
BA.1,BA.1
BA.1.1,BA.1.1
BA.1.1.1,BA.1.1
BA.1.1.10,BA.1.1
BA.1.1.11,BA.1.1
BA.1.1.12,BA.1.1
BA.1.1.13,BA.1.1
BA.1.1.14,BA.1.1
BA.1.1.15,BA.1.1
BA.1.1.16,BA.1.1
BA.1.1.17,BA.1.1
BA.1.1.18,BA.1.1
BA.1.1.2,BA.1.1
BA.1.1.3,BA.1.1
BA.1.1.4,BA.1.1
BA.1.1.5,BA.1.1
BA.1.1.6,BA.1.1
BA.1.1.7,BA.1.1
BA.1.1.8,BA.1.1
BA.1.1.9,BA.1.1
BA.1.10,BA.1
BA.1.12,BA.1
BA.1.13,BA.1
BA.1.13.1,BA.1
BA.1.14,BA.1
BA.1.14.1,BA.1
BA.1.14.2,BA.1
BA.1.15,BA.1
BA.1.15.1,BA.1
BA.1.15.2,BA.1
BA.1.15.3,BA.1
BA.1.16,BA.1
BA.1.16.1,BA.1
BA.1.16.2,BA.1
BA.1.17,BA.1
BA.1.17.1,BA.1
BA.1.17.2,BA.1
BA.1.18,BA.1
BA.1.19,BA.1
BA.1.20,BA.1
BA.1.21,BA.1
BA.1.21.1,BA.1
BA.1.23,BA.1
BA.1.3,BA.1
BA.1.4,BA.1
BA.1.5,BA.1
BA.1.6,BA.1
BA.1.7,BA.1
BA.1.8,BA.1
BA.1.9,BA.1
BA.2,BA.2
BA.2.1,BA.2
BA.2.10,BA.2
BA.2.10.1,BA.2
BA.2.10.3,BA.2
BA.2.10.4,BA.2
BA.2.11,BA.2
BA.2.12,BA.2
BA.2.12.1,BA.2.12.1
BA.2.12.2,BA.2
BA.2.13,BA.2
BA.2.13.1,BA.2
BA.2.14,BA.2
BA.2.15,BA.2
BA.2.16,BA.2
BA.2.17,BA.2
BA.2.18,BA.2
BA.2.19,BA.2
BA.2.2,BA.2
BA.2.2.1,BA.2
BA.2.20,BA.2
BA.2.21,BA.2
BA.2.22,BA.2
BA.2.23,BA.2
BA.2.24,BA.2
BA.2.25,BA.2
BA.2.25.1,BA.2
BA.2.26,BA.2
BA.2.27,BA.2
BA.2.28,BA.2
BA.2.29,BA.2
BA.2.3,BA.2
BA.2.3.11,BA.2
BA.2.3.12,BA.2
BA.2.3.13,BA.2
BA.2.3.14,BA.2
BA.2.3.15,BA.2
BA.2.3.16,BA.2
BA.2.3.17,BA.2
BA.2.3.18,BA.2
BA.2.3.2,BA.2
BA.2.3.21,BA.2
BA.2.3.4,BA.2
BA.2.3.5,BA.2
BA.2.3.6,BA.2
BA.2.3.7,BA.2
BA.2.3.8,BA.2
BA.2.30,BA.2
BA.2.31,BA.2
BA.2.31.1,BA.2
BA.2.32,BA.2
BA.2.33,BA.2
BA.2.34,BA.2
BA.2.35,BA.2
BA.2.36,BA.2
BA.2.37,BA.2
BA.2.38,BA.2
BA.2.38.1,BA.2
BA.2.38.2,BA.2
BA.2.38.3,BA.2
BA.2.38.4,BA.2
BA.2.39,BA.2
BA.2.4,BA.2
BA.2.40,BA.2
BA.2.41,BA.2
BA.2.42,BA.2
BA.2.43,BA.2
BA.2.44,BA.2
BA.2.45,BA.2
BA.2.46,BA.2
BA.2.47,BA.2
BA.2.48,BA.2
BA.2.49,BA.2
BA.2.5,BA.2
BA.2.50,BA.2
BA.2.51,BA.2
BA.2.52,BA.2
BA.2.53,BA.2
BA.2.54,BA.2
BA.2.55,BA.2
BA.2.56,BA.2
BA.2.57,BA.2
BA.2.58,BA.2
BA.2.59,BA.2
BA.2.6,BA.2
BA.2.60,BA.2
BA.2.61,BA.2
BA.2.62,BA.2
BA.2.63,BA.2
BA.2.64,BA.2
BA.2.65,BA.2
BA.2.66,BA.2
BA.2.67,BA.2
BA.2.68,BA.2
BA.2.69,BA.2
BA.2.7,BA.2
BA.2.70,BA.2
BA.2.71,BA.2
BA.2.72,BA.2
BA.2.73,BA.2
BA.2.74,BA.2
BA.2.75,BA.2.75
BA.2.75.2,BA.2.75.2
BA.2.75.5,BA.2.75
BA.2.75.7,BA.2.75
BA.2.75.8,BA.2.75
BA.2.76,BA.2
BA.2.78,BA.2
BA.2.79,BA.2
BA.2.79.1,BA.2
BA.2.8,BA.2
BA.2.80,BA.2
BA.2.81,BA.2
BA.2.82,BA.2
BA.2.85,BA.2
BA.2.9,BA.2
BA.2.9.1,BA.2
BA.2.9.2,BA.2
BA.2.9.3,BA.2
BA.2.9.4,BA.2
BA.2.9.5,BA.2
BA.2.9.7,BA.2
BA.3,BA.3
BA.4,BA.4
BA.4.1,BA.4
BA.4.1.1,BA.4
BA.4.1.10,BA.4
BA.4.1.2,BA.4
BA.4.1.3,BA.4
BA.4.1.4,BA.4
BA.4.1.5,BA.4
BA.4.1.6,BA.4
BA.4.1.7,BA.4
BA.4.1.8,BA.4
BA.4.1.9,BA.4
BA.4.2,BA.4
BA.4.3,BA.4
BA.4.4,BA.4
BA.4.5,BA.4
BA.4.6,BA.4.6
BA.4.6.2,BA.4.6
BA.4.6.4,BA.4.6
BA.4.6.5,BA.4.6
BA.4.7,BA.4
BA.4.8,BA.4
BA.5,BA.5
BA.5.1,BA.5
BA.5.1.1,BA.5
BA.5.1.10,BA.5
BA.5.1.11,BA.5
BA.5.1.12,BA.5
BA.5.1.15,BA.5
BA.5.1.16,BA.5
BA.5.1.17,BA.5
BA.5.1.18,BA.5
BA.5.1.19,BA.5
BA.5.1.2,BA.5
BA.5.1.20,BA.5
BA.5.1.21,BA.5
BA.5.1.22,BA.5
BA.5.1.23,BA.5
BA.5.1.24,BA.5
BA.5.1.25,BA.5
BA.5.1.26,BA.5
BA.5.1.27,BA.5
BA.5.1.28,BA.5
BA.5.1.29,BA.5
BA.5.1.3,BA.5
BA.5.1.30,BA.5
BA.5.1.31,BA.5
BA.5.1.33,BA.5
BA.5.1.5,BA.5
BA.5.1.6,BA.5
BA.5.1.7,BA.5
BA.5.1.8,BA.5
BA.5.1.9,BA.5
BA.5.10,BA.5
BA.5.10.1,BA.5
BA.5.11,BA.5
BA.5.2,BA.5
BA.5.2.1,BA.5
BA.5.2.10,BA.5
BA.5.2.11,BA.5
BA.5.2.12,BA.5
BA.5.2.13,BA.5
BA.5.2.14,BA.5
BA.5.2.16,BA.5
BA.5.2.18,BA.5
BA.5.2.19,BA.5
BA.5.2.2,BA.5
BA.5.2.20,BA.5
BA.5.2.21,BA.5
BA.5.2.22,BA.5
BA.5.2.23,BA.5
BA.5.2.24,BA.5
BA.5.2.25,BA.5
BA.5.2.26,BA.5
BA.5.2.27,BA.5
BA.5.2.28,BA.5
BA.5.2.29,BA.5
BA.5.2.3,BA.5
BA.5.2.30,BA.5
BA.5.2.31,BA.5
BA.5.2.32,BA.5
BA.5.2.33,BA.5
BA.5.2.34,BA.5
BA.5.2.35,BA.5
BA.5.2.36,BA.5
BA.5.2.37,BA.5
BA.5.2.38,BA.5
BA.5.2.39,BA.5
BA.5.2.4,BA.5
BA.5.2.40,BA.5
BA.5.2.41,BA.5
BA.5.2.42,BA.5
BA.5.2.43,BA.5
BA.5.2.44,BA.5
BA.5.2.45,BA.5
BA.5.2.46,BA.5
BA.5.2.48,BA.5
BA.5.2.49,BA.5
BA.5.2.5,BA.5
BA.5.2.6,BA.5
BA.5.2.7,BA.5
BA.5.2.8,BA.5
BA.5.2.9,BA.5
BA.5.3,BA.5
BA.5.3.1,BA.5
BA.5.3.2,BA.5
BA.5.3.3,BA.5
BA.5.3.4,BA.5
BA.5.3.5,BA.5
BA.5.5,BA.5
BA.5.5.1,BA.5
BA.5.5.2,BA.5
BA.5.5.3,BA.5
BA.5.6,BA.5
BA.5.6.1,BA.5
BA.5.6.2,BA.5
BA.5.6.3,BA.5
BA.5.7,BA.5
BA.5.8,BA.5
BA.5.9,BA.5
BC.1,BA.1.1
BC.2,BA.1.1
BD.1,BA.1.1
BE.1,BA.5
BE.1.1,BA.5
BE.1.1.1,BA.5
BE.1.1.2,BA.5
BE.1.2,BA.5
BE.1.2.1,BA.5
BE.1.4,BA.5
BE.1.4.1,BA.5
BE.1.4.2,BA.5
BE.1.4.3,BA.5
BE.1.4.4,BA.5
BE.10,BA.5
BE.11,BA.5
BE.12,BA.5
BE.13,BA.5
BE.2,BA.5
BE.3,BA.5
BE.4.2,BA.5
BE.5,BA.5
BE.6,BA.5
BE.7,BA.5
BE.8,BA.5
BE.9,BA.5
BF.1,BA.5
BF.1.1,BA.5
BF.10,BA.5
BF.10.1,BA.5
BF.11,BF.11
BF.11.4,BF.11
BF.11.5,BF.11
BF.12,BA.5
BF.13,BA.5
BF.14,BA.5
BF.15,BA.5
BF.16,BA.5
BF.17,BA.5
BF.18,BA.5
BF.19,BA.5
BF.2,BA.5
BF.20,BA.5
BF.21,BA.5
BF.22,BA.5
BF.23,BA.5
BF.24,BA.5
BF.25,BA.5
BF.26,BA.5
BF.27,BA.5
BF.28,BA.5
BF.29,BA.5
BF.3,BA.5
BF.3.1,BA.5
BF.30,BA.5
BF.31,BA.5
BF.31.1,BA.5
BF.32,BA.5
BF.34,BA.5
BF.38.3,BA.5
BF.4,BA.5
BF.40,BA.5
BF.5,BA.5
BF.5.1,BA.5
BF.5.2,BA.5
BF.6,BA.5
BF.7,BF.7
BF.7.1,BF.7
BF.7.10,BF.7
BF.7.11,BF.7
BF.7.13,BF.7
BF.7.13.1,BF.7
BF.7.13.2,BF.7
BF.7.15,BF.7
BF.7.17,BF.7
BF.7.22,BF.7
BF.7.24,BF.7
BF.7.26,BF.7
BF.7.3,BF.7
BF.7.4,BF.7
BF.7.4.1,BF.7
BF.7.4.2,BF.7
BF.7.5,BF.7
BF.7.5.1,BF.7
BF.7.7,BF.7
BF.7.8,BF.7
BF.7.9,BF.7
BF.8,BA.5
BF.9,BA.5
BG.1,BA.2.12.1
BG.2,BA.2.12.1
BG.3,BA.2.12.1
BG.4,BA.2.12.1
BG.5,BA.2.12.1
BG.6,BA.2.12.1
BH.1,BA.2
BJ.1,BA.2
BK.1,BA.5
BL.1.3,BA.2.75
BL.3,BA.2.75
BM.1,BA.2.75
BM.1.1,BA.2.75
BM.1.1.1,BA.2.75
BM.1.1.5,BA.2.75
BM.2,BA.2.75
BM.2.1,BA.2.75
BM.4,BA.2.75
BM.6,BA.2.75
BN.1,BN.1
BN.1.1.1,BN.1
BN.1.10,BN.1
BN.1.2,BN.1
BN.1.2.2,BN.1
BN.1.2.3,BN.1
BN.1.3,BN.1
BN.1.3.1,BN.1
BN.1.3.3,BN.1
BN.1.3.4,BN.1
BN.1.4,BN.1
BN.1.4.1,BN.1
BN.1.5,BN.1
BN.1.7,BN.1
BN.1.8,BN.1
BN.1.9,BN.1
BN.3,BA.2.75
BN.3.1,BA.2.75
BN.5,BA.2.75
BN.6,BA.2.75
BQ.1,BQ.1
BQ.1.1,BQ.1.1
BQ.1.1.1,BQ.1.1
BQ.1.1.10,BQ.1.1
BQ.1.1.11,BQ.1.1
BQ.1.1.13,BQ.1.1
BQ.1.1.14,BQ.1.1
BQ.1.1.15,BQ.1.1
BQ.1.1.16,BQ.1.1
BQ.1.1.17,BQ.1.1
BQ.1.1.18,BQ.1.1
BQ.1.1.19,BQ.1.1
BQ.1.1.2,BQ.1.1
BQ.1.1.20,BQ.1.1
BQ.1.1.21,BQ.1.1
BQ.1.1.22,BQ.1.1
BQ.1.1.23,BQ.1.1
BQ.1.1.24,BQ.1.1
BQ.1.1.25,BQ.1.1
BQ.1.1.26,BQ.1.1
BQ.1.1.27,BQ.1.1
BQ.1.1.28,BQ.1.1
BQ.1.1.29,BQ.1.1
BQ.1.1.3,BQ.1.1
BQ.1.1.30,BQ.1.1
BQ.1.1.31,BQ.1.1
BQ.1.1.32,BQ.1.1
BQ.1.1.34,BQ.1.1
BQ.1.1.35,BQ.1.1
BQ.1.1.36,BQ.1.1
BQ.1.1.37,BQ.1.1
BQ.1.1.38,BQ.1.1
BQ.1.1.39,BQ.1.1
BQ.1.1.4,BQ.1.1
BQ.1.1.40,BQ.1.1
BQ.1.1.41,BQ.1.1
BQ.1.1.42,BQ.1.1
BQ.1.1.43,BQ.1.1
BQ.1.1.44,BQ.1.1
BQ.1.1.45,BQ.1.1
BQ.1.1.46,BQ.1.1
BQ.1.1.47,BQ.1.1
BQ.1.1.49,BQ.1.1
BQ.1.1.5,BQ.1.1
BQ.1.1.50,BQ.1.1
BQ.1.1.51,BQ.1.1
BQ.1.1.52,BQ.1.1
BQ.1.1.53,BQ.1.1
BQ.1.1.54,BQ.1.1
BQ.1.1.56,BQ.1.1
BQ.1.1.57,BQ.1.1
BQ.1.1.58,BQ.1.1
BQ.1.1.6,BQ.1.1
BQ.1.1.60,BQ.1.1
BQ.1.1.61,BQ.1.1
BQ.1.1.62,BQ.1.1
BQ.1.1.63,BQ.1.1
BQ.1.1.64,BQ.1.1
BQ.1.1.65,BQ.1.1
BQ.1.1.67,BQ.1.1
BQ.1.1.68,BQ.1.1
BQ.1.1.69,BQ.1.1
BQ.1.1.7,BQ.1.1
BQ.1.1.70,BQ.1.1
BQ.1.1.73,BQ.1.1
BQ.1.1.74,BQ.1.1
BQ.1.1.8,BQ.1.1
BQ.1.1.9,BQ.1.1
BQ.1.10,BQ.1
BQ.1.10.1,BQ.1
BQ.1.10.3,BQ.1
BQ.1.11,BQ.1
BQ.1.12,BQ.1
BQ.1.13,BQ.1
BQ.1.13.1,BQ.1
BQ.1.14,BQ.1
BQ.1.15,BQ.1
BQ.1.15.1,BQ.1
BQ.1.16,BQ.1
BQ.1.17,BQ.1
BQ.1.18,BQ.1
BQ.1.19,BQ.1
BQ.1.2,BQ.1
BQ.1.20,BQ.1
BQ.1.22,BQ.1
BQ.1.23,BQ.1
BQ.1.24,BQ.1
BQ.1.25,BQ.1
BQ.1.25.1,BQ.1
BQ.1.26,BQ.1
BQ.1.26.1,BQ.1
BQ.1.27,BQ.1
BQ.1.28,BQ.1
BQ.1.29,BQ.1
BQ.1.3,BQ.1
BQ.1.30,BQ.1
BQ.1.31,BQ.1
BQ.1.4,BQ.1
BQ.1.5,BQ.1
BQ.1.6,BQ.1
BQ.1.7,BQ.1
BQ.1.8,BQ.1
BQ.1.8.1,BQ.1
BQ.1.8.2,BQ.1
BQ.1.9,BQ.1
BQ.2,BA.5
BR.2,BA.2.75
BR.2.1,BA.2.75
BR.3,BA.2.75
BR.5,BA.2.75
BT.2,BA.5
BU.1,BA.5
BU.2,BA.5
BV.1,BA.5
BV.2,BA.5
BW.1,BA.5
BW.1.1,BA.5
BY.1,BA.2.75
BY.1.1,BA.2.75
BY.1.1.1,BA.2.75
BY.1.2,BA.2.75
BZ.1,BA.5
C.30,Ancestral
CA.5,BA.2.75.2
CA.6,BA.2.75.2
CB.1,BA.2.75
CC.1,BA.5
CD.1,BA.5
CD.2,BA.5
CE.1,BA.5
CG.1,BA.5
CH.1,BA.2.75
CH.1.1,CH.1.1
CH.1.1.1,CH.1.1
CH.1.1.10,CH.1.1
CH.1.1.11,CH.1.1
CH.1.1.2,CH.1.1
CH.1.1.3,CH.1.1
CH.1.1.6,CH.1.1
CH.1.1.9,CH.1.1
CH.3.1,BA.2.75
CJ.1,BA.2.75
CJ.1.1,BA.2.75
CJ.1.3,BA.2.75
CK.1,BA.5
CK.2,BA.5
CK.2.1,BA.5
CK.3,BA.5
CL.1,BA.5
CM.1,BA.2
CM.12,BA.2
CM.2,BA.2
CM.4.1,BA.2
CM.5.1,BA.2
CM.7,BA.2
CM.8,BA.2
CM.8.1,BA.2
CN.1,BA.5
CN.2,BA.5
CP.1,BA.2
CP.1.1,BA.2
CP.1.2,BA.2
CP.1.3,BA.2
CP.2,BA.2
CP.3,BA.2
CP.4,BA.2
CP.6,BA.2
CR.1,BA.5
CR.1.1,BA.5
CR.1.3,BA.5
CR.2,BA.5
CS.1,BA.5
CT.1,BA.5
CW.1,BA.5
CY.1,BA.5
CZ.1,BA.5
DA.1,BA.5
DB.1,BA.5
DB.2,BA.5
DC.1,BA.4.6
DE.1,BA.5
DE.2,BA.5
DF.1,BA.5
DF.1.1,BA.5
DG.1,BA.5
DH.1,BA.5
DJ.1.3,BA.5
DK.1,BA.5
DL.1,BA.5
DN.1,BA.5
DN.1.1.2,BA.5
DP.1,BA.5
DR.1,BA.5
DS.1,BA.2.75
DS.2,BA.2.75
DT.1,BA.5
DT.2,BA.5
DT.3,BA.5
DU.1,BA.5
DV.4,BA.2.75
DW.1,BA.5
EA.2,BA.5
EB.1,BA.5
ED.1,BA.5
ED.2,BA.5
ED.3,BA.5
EE.1,BA.5
EE.2,BA.5
EE.3,BA.5
EE.5,BA.5
EF.1,BA.5
EF.1.1.1,BA.5
EF.1.2,BA.5
EF.1.3,BA.5
EG.1,XBB
EG.1.1,XBB
EG.2,XBB
EH.1,BA.5
EK.1,XBB.1.5
EK.2,XBB.1.5
EK.3,XBB.1.5
EK.4,XBB.1.5
EM.1,XBB.1.5
EU.1,XBB.1.5
EU.1.1,XBB.1.5
EW.2,BA.5
FD.1,XBB.1.5
FD.1.1,XBB.1.5
FD.2,FD.2
FD.3,XBB.1.5
FD.4,XBB.1.5
FE.1,XBB
FE.1.2,XBB
FG.2,XBB.1.5
FG.3,XBB.1.5
FH.1,XBB.1.5
FK.1,BA.2.75
FL.1,XBB.1.9.1
FL.11,XBB.1.9.1
FL.3.2,XBB.1.9.1
FL.4,XBB.1.9.1
FL.6,XBB.1.9.1
FL.9,XBB.1.9.1
FT.1,XBB.1.5
FU.1,XBB.1.16
FU.2,XBB.1.16
FW.1,XBB
FY.2,XBB
FY.3,XBB
FY.4,XBB
FZ.2,XBB.1.5
GA.3,XBB
GC.1,XBB.1.5
GC.2,XBB.1.5
GE.1,XBB
N.4,Ancestral
N.7,Ancestral
unreportable,unreportable
XAA,Recombinant
XAB,Recombinant
XAC,Recombinant
XAD,Recombinant
XAE,Recombinant
XAF,Recombinant
XAG,Recombinant
XAH,Recombinant
XAJ,Recombinant
XAK,Recombinant
XAL,Recombinant
XAM,Recombinant
XAN,Recombinant
XAP,Recombinant
XAQ,Recombinant
XAS,Recombinant
XAT,Recombinant
XAU,Recombinant
XAV,Recombinant
XAZ,Recombinant
XBB,XBB
XBB.1,XBB
XBB.1.1,XBB
XBB.1.10,XBB
XBB.1.11,XBB
XBB.1.11.1,XBB
XBB.1.12,XBB
XBB.1.13,XBB
XBB.1.15,XBB
XBB.1.16,XBB.1.16
XBB.1.16.1,XBB.1.16
XBB.1.16.3,XBB.1.16
XBB.1.16.6,XBB.1.16
XBB.1.17,XBB
XBB.1.17.1,XBB
XBB.1.18,XBB
XBB.1.18.1,XBB
XBB.1.19,XBB
XBB.1.19.1,XBB
XBB.1.21,XBB
XBB.1.22,XBB
XBB.1.22.1,XBB
XBB.1.22.2,XBB
XBB.1.23,XBB
XBB.1.24,XBB
XBB.1.25,XBB
XBB.1.27,XBB
XBB.1.28.1,XBB
XBB.1.29,XBB
XBB.1.3,XBB
XBB.1.30,XBB
XBB.1.32,XBB
XBB.1.34,XBB
XBB.1.36,XBB
XBB.1.37.1,XBB
XBB.1.39,XBB
XBB.1.4,XBB
XBB.1.4.1,XBB
XBB.1.5,XBB.1.5
XBB.1.5.1,XBB.1.5.1
XBB.1.5.10,XBB.1.5
XBB.1.5.11,XBB.1.5
XBB.1.5.12,XBB.1.5
XBB.1.5.13,XBB.1.5
XBB.1.5.14,XBB.1.5
XBB.1.5.15,XBB.1.5
XBB.1.5.16,XBB.1.5
XBB.1.5.17,XBB.1.5
XBB.1.5.18,XBB.1.5
XBB.1.5.19,XBB.1.5
XBB.1.5.2,XBB.1.5
XBB.1.5.20,XBB.1.5
XBB.1.5.21,XBB.1.5
XBB.1.5.22,XBB.1.5
XBB.1.5.23,XBB.1.5
XBB.1.5.24,XBB.1.5
XBB.1.5.25,XBB.1.5
XBB.1.5.26,XBB.1.5
XBB.1.5.27,XBB.1.5
XBB.1.5.28,XBB.1.5
XBB.1.5.29,XBB.1.5
XBB.1.5.3,XBB.1.5
XBB.1.5.30,XBB.1.5
XBB.1.5.31,XBB.1.5
XBB.1.5.32,XBB.1.5
XBB.1.5.33,XBB.1.5
XBB.1.5.34,XBB.1.5
XBB.1.5.35,XBB.1.5
XBB.1.5.36,XBB.1.5
XBB.1.5.37,XBB.1.5
XBB.1.5.38,XBB.1.5
XBB.1.5.39,XBB.1.5
XBB.1.5.4,XBB.1.5
XBB.1.5.42,XBB.1.5
XBB.1.5.43,XBB.1.5
XBB.1.5.45,XBB.1.5
XBB.1.5.46,XBB.1.5
XBB.1.5.47,XBB.1.5
XBB.1.5.49,XBB.1.5
XBB.1.5.5,XBB.1.5
XBB.1.5.50,XBB.1.5
XBB.1.5.52,XBB.1.5
XBB.1.5.54,XBB.1.5
XBB.1.5.55,XBB.1.5
XBB.1.5.56,XBB.1.5
XBB.1.5.57,XBB.1.5
XBB.1.5.59,XBB.1.5
XBB.1.5.6,XBB.1.5
XBB.1.5.60,XBB.1.5
XBB.1.5.61,XBB.1.5
XBB.1.5.62,XBB.1.5
XBB.1.5.63,XBB.1.5
XBB.1.5.64,XBB.1.5
XBB.1.5.65,XBB.1.5
XBB.1.5.66,XBB.1.5
XBB.1.5.67,XBB.1.5
XBB.1.5.69,XBB.1.5
XBB.1.5.7,XBB.1.5
XBB.1.5.8,XBB.1.5
XBB.1.5.9,XBB.1.5
XBB.1.6,XBB
XBB.1.7,XBB
XBB.1.8,XBB
XBB.1.9,XBB
XBB.1.9.1,XBB.1.9.1
XBB.1.9.2,XBB.1.9.2
XBB.1.9.4,XBB
XBB.1.9.5,XBB
XBB.2,XBB
XBB.2.1,XBB
XBB.2.3,XBB.2.3
XBB.2.3.1,XBB.2.3
XBB.2.3.10,XBB.2.3
XBB.2.3.11,XBB.2.3
XBB.2.3.2,XBB.2.3
XBB.2.3.3,XBB.2.3
XBB.2.4,XBB
XBB.2.5,XBB
XBB.2.6,XBB
XBB.2.7,XBB
XBB.2.8,XBB
XBB.3,XBB
XBB.3.1,XBB
XBB.3.2,XBB
XBB.3.3,XBB
XBB.4,XBB
XBB.4.1,XBB
XBB.5,XBB
XBB.6,XBB
XBB.6.1,XBB
XBB.7,XBB
XBB.8,XBB
XBB.8.1,XBB
XBC,Recombinant
XBC.1,Recombinant
XBC.1.2,Recombinant
XBC.2,Recombinant
XBD,Recombinant
XBE,Recombinant
XBF,Recombinant
XBF.2,Recombinant
XBF.3,Recombinant
XBF.4,Recombinant
XBF.7,Recombinant
XBG,Recombinant
XBH,Recombinant
XBK,Recombinant
XBK.1,Recombinant
XBL,Recombinant
XBM,Recombinant
XBN,Recombinant
XBP,Recombinant
XBS,Recombinant
XBT,Recombinant
XBU,Recombinant
XD,Recombinant
XE,Recombinant
XF,Recombinant
XG,Recombinant
XL,Recombinant
XM,Recombinant
XN,Recombinant
XP,Recombinant
XQ,Recombinant
XR,Recombinant
XS,Recombinant
XU,Recombinant
XV,Recombinant
XW,Recombinant
XY,Recombinant
XZ,Recombinant
